,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,-1,0,RAINFOREST_RESIN,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0,0.0
1,-1,0,KELP,2028,1,2026.0,2.0,2025.0,29.0,2029,31,,,,,2028.5,0.0
2,-1,100,KELP,2025,24,,,,,2028,2,2029.0,22.0,,,2026.5,1.157470703125
3,-1,100,RAINFOREST_RESIN,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0,2.0
4,-1,200,RAINFOREST_RESIN,9995,20,,,,,10005,20,,,,,10000.0,-6.0
5,-1,200,KELP,2025,22,,,,,2028,20,,,,,2026.5,-41.10546875
6,-1,300,KELP,2025,31,,,,,2028,2,2029.0,29.0,,,2026.5,-84.078125
7,-1,300,RAINFOREST_RESIN,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,-106.0
8,-1,400,RAINFOREST_RESIN,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,-114.0
9,-1,400,KELP,2025,27,,,,,2028,27,,,,,2026.5,-76.5625
10,-1,500,KELP,2025,30,,,,,2028,30,,,,,2026.5,-65.34375
11,-1,500,RAINFOREST_RESIN,9995,30,,,,,10002,4,10005.0,30.0,,,9998.5,-122.0
12,-1,600,RAINFOREST_RESIN,10000,5,9995.0,25.0,,,10005,25,,,,,10002.5,-122.0
13,-1,600,KELP,2026,5,2025.0,31.0,,,2028,25,,,,,2027.0,-54.2265625
14,-1,700,KELP,2025,2,2024.0,23.0,,,2028,23,,,,,2026.5,-37.3828125
15,-1,700,RAINFOREST_RESIN,9995,23,,,,,10005,23,,,,,10000.0,-122.0
16,-1,800,RAINFOREST_RESIN,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,-122.0
17,-1,800,KELP,2024,1,2023.0,29.0,,,2027,30,,,,,2025.5,-7.296875
18,-1,900,KELP,2024,23,,,,,2027,23,,,,,2025.5,-33.1875
19,-1,900,RAINFOREST_RESIN,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,-126.0
20,-1,1000,RAINFOREST_RESIN,9995,26,,,,,10005,26,,,,,10000.0,-130.0
21,-1,1000,KELP,2024,26,,,,,2026,6,2027.0,26.0,,,2025.0,-34.984375
22,-1,1100,KELP,2025,6,2024.0,26.0,,,2027,2,2028.0,24.0,,,2026.0,-40.546875
23,-1,1100,RAINFOREST_RESIN,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,-130.0
24,-1,1200,RAINFOREST_RESIN,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,-138.0
