,timestamp,buyer,seller,symbol,currency,price,quantity
0,0,,SUBMISSION,KELP,SEASHELLS,2028,1
1,0,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
2,0,,,KELP,SEASHELLS,2029,13
3,0,,,KELP,SEASHELLS,2029,1
4,0,,,RAINFOREST_RESIN,SEASHELLS,10004,1
5,100,,SUBMISSION,KELP,SEASHELLS,2025,22
6,100,,SUBMISSION,KELP,SEASHELLS,2025,2
7,100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
8,200,,SUBMISSION,KELP,SEASHELLS,2025,2
9,200,,SUBMISSION,KELP,SEASHELLS,2025,20
10,200,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9995,20
11,300,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
12,400,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
13,600,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10000,5
14,700,,SUBMISSION,KELP,SEASHELLS,2025,2
15,800,,SUBMISSION,KELP,SEASHELLS,2024,1
16,800,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
17,900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
18,1100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
19,1100,,,RAINFOREST_RESIN,SEASHELLS,9995,10
20,1300,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
21,1400,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
22,1700,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
23,1700,,,KELP,SEASHELLS,2026,8
24,1700,,,RAINFOREST_RESIN,SEASHELLS,10002,1
25,1800,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
26,1900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
27,1900,,,KELP,SEASHELLS,2026,1
28,2000,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
29,2000,,,RAINFOREST_RESIN,SEASHELLS,9998,1
30,2100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
31,2400,,,KELP,SEASHELLS,2025,1
32,2500,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
33,2900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
34,2900,,,RAINFOREST_RESIN,SEASHELLS,9995,12
